AAAAABBCDRR: ABRACADABRA
             SPONTANISME
AEIMNNOQRSU: MANQUERIONS
AEIMNNOQRTU: MAROQUINENT
AEIMNNOQSSU: MANOSQUINES
AEIMNNOQTUY: ANTONYMIQUE
AEIMNNORRRS: MARRONNIERS
AEIMNNORSST: MATERNISONS
             MINORASSENT
             SARMENTIONS
AEIMNNORSSY: RAYONNISMES
AEIMNNORSTT: ROMANTISENT
AEIMNNORSTU: MARSOUINENT
             MENSURATION
             NUMERATIONS
AEIMNNOSSST: MITONNASSES
AEIMNNOSSTT: MONTANISTES
AEIMNNPSTTY: TYMPANISENT
AEIMNNRRSTT: TRANSMIRENT
AEIMNNRSSTU: RUMINASSENT
AEIMNNRSTTU: INSTRUMENTA
AEIMNNSSTTU: MINUTASSENT
             MUTINASSENT
AEIMNOOPRSU: PAUMOIERONS
AEIMNOOPRTU: PAUMOIERONT
AEIMNOOQSTU: ONOMASTIQUE
AEIMNOOQTUX: TAXONOMIQUE
AEIMNOORRRS: ARMORIERONS
AEIMNOORRRT: ARMORIERONT
AEIMNOORRST: MONITORERAS
AEIMNOORSSS: SONORISAMES
AEIMNOORSST: ASTRONOMIES
             ATOMISERONS
             MONITORASSE
AEIMNOORSTT: ATOMISERONT
             MONITORATES
AEIMNOORSTU: AUTONOMISER
AEIMNOORSTY: ATERMOYIONS
AEIMNOOSSTU: AUTONOMISES
AEIMNOOSTTU: AUTONOMISTE
AEIMNOOSTTX: TAXONOMISTE
AEIMNOOSTUZ: AUTONOMISEZ
AEIMNOPPRST: OPPRIMANTES
AEIMNOPQRUY: PARONYMIQUE
AEIMNOPRRRT: INTERROMPRA
AEIMNOPRRTT: REIMPORTANT
AEIMNOPRRTU: IMPORTUNERA
AEIMNOPRSTT: ATTREMPIONS
             IMPORTANTES
             TARTEMPIONS
             TEMPORISANT
AEIMNOPRSTU: AMPUTERIONS
AEIMNOPRTTU: PERMUTATION
AEIMNOPRTVY: IMPREVOYANT
AEIMNOPSSST: IMPOSASSENT
AEIMNOQRRSU: MARQUERIONS
             REMARQUIONS
AEIMNOQRSSU: MASQUERIONS
AEIMNOQRSTU: MARQUETIONS
             ROMANTIQUES
AEIMNOQSSTU: MONASTIQUES
AEIMNOQSTTU: MAQUETTIONS
AEIMNOQSTUY: QUINTOYAMES
AEIMNOQTUUY: AUTONYMIQUE
AEIMNORRSSS: AMERRISSONS
AEIMNORRSSX: MARXISERONS
AEIMNORRSTU: MATURERIONS
             SURMONTERAI
AEIMNORRSTX: MARXISERONT
AEIMNORRSUV: MANOUVRIERS
AEIMNORSSST: METRASSIONS
AEIMNORSSSU: ASSUMERIONS
             REMUASSIONS
AEIMNORSSTT: AMORTISSENT
             ASSORTIMENT
AEIMNORSSTV: REVOMISSANT
AEIMNORSSTZ: MONTRASSIEZ
AEIMNORSTTT: TROTTINAMES
AEIMNORSTTU: TONITRUAMES
             TOURMENTAIS
AEIMNORSTUZ: AZIMUTERONS
AEIMNORTTTU: TOURMENTAIT
AEIMNORTTUZ: AZIMUTERONT
AEIMNOSSTTV: MOTIVASSENT
AEIMNPQSTUY: TYMPANIQUES
AEIMNPRRSTU: REMPRUNTAIS
AEIMNPRRTTU: REMPRUNTAIT
AEIMNPRSTTY: TRYPTAMINES
AEIMNPSSTTU: IMPUTASSENT
AEIMNRRSTTY: MARTYRISENT
AEIMNRSSSST: TRANSMISSES
AEIMNRSSSTU: MURISSANTES
             SATURNISMES
AEIMNRSSTTU: SURESTIMANT
AEIMNRSSTTY: SYMETRISANT
AEIMNRSTTUZ: TRANSMUTIEZ
AEIMOOQSTUU: AUTOSOMIQUE
AEIMOORRSST: MOTORISERAS
AEIMOORSSST: MOTORISASSE
AEIMOORSSTT: MOTORISATES
AEIMOPPRRSU: EMPOURPRAIS
AEIMOPPRRTU: EMPOURPRAIT
AEIMOPPRSSS: OPPRIMASSES
AEIMOPRRSSU: SURIMPOSERA
AEIMOPRRSTT: PROMETTRAIS
AEIMOPRRSUV: IMPROUVERAS
AEIMOPRRTTT: PROMETTRAIT
AEIMOPRRTTU: IMPORTATEUR
AEIMOPRSSST: IMPORTASSES
AEIMOPRSSTT: PROSTATISME
AEIMOPRSSTU: SOMPTUAIRES
AEIMOPRSSTZ: TROMPASSIEZ
AEIMOPRSSUV: IMPROUVASSE
AEIMOPRSTTT: TROMPETTAIS
AEIMOPRSTUV: IMPROUVATES
AEIMOPRTTTT: TROMPETTAIT
AEIMOPSSSTV: ASSOMPTIVES
AEIMOQSSTTU: STOMATIQUES
AEIMOQSTTUY: MYOTATIQUES
AEIMORRSSST: RASSORTIMES
AEIMORRSSTU: AMORTISSEUR
             MORTAISEURS
AEIMORRSTUV: SURMOTIVERA
AEIMORSSSTU: TREMOUSSAIS
AEIMORSSSUU: SAUMUROISES
AEIMORSSTTU: SOUMETTRAIS
             TREMOUSSAIT
AEIMORSTTTU: SOUMETTRAIT
AEIMORSTTUV: MOTIVATEURS
AEIMOSSSSST: STOMISASSES
AEIMOSSSSUZ: MOUSSASSIEZ
AEIMPPRRSSU: SUPPRIMERAS
AEIMPPRSSSU: SUPPRIMASSE
AEIMPPRSSTU: SUPPRIMATES
AEIMPQRSSUU: SURPIQUAMES
AEIMPQRSTUY: SYMPATRIQUE
AEIMPRRSSUX: SUREXPRIMAS
AEIMPRRSTUX: SUREXPRIMAT
AEIMQRSSTUU: RUSTIQUAMES
AEIMQSSSSUU: MUSIQUASSES
AEIMQSSSUUZ: MUSQUASSIEZ
AEIMRRSSTTU: SURTITRAMES
AEINNNNOORS: ANONNERIONS
AEINNNNOOST: ENTONNAISON
AEINNNNOPST: PENSIONNANT
AEINNNNORTV: ENVIRONNANT
AEINNNOORRR: RONRONNERAI
AEINNNOORST: ANNOTERIONS
AEINNNOORTT: TORONNAIENT
AEINNNOOTTV: OVATIONNENT
AEINNNOPSST: PASSIONNENT
             PENSIONNATS
             PIONNASSENT
AEINNNORSST: SANTONNIERS
             TANNISERONS
AEINNNORSTT: TANNISERONT
AEINNNORTTU: ANTINEUTRON
AEINNNOSSTV: INNOVASSENT
AEINNNOSTTT: STATIONNENT
AEINNNQQTUU: QUINQUENNAT
AEINNNRSTTY: TYRANNISENT
AEINNOOPPRU: POUPONNERAI
AEINNOOPRRT: PORTIONNERA
AEINNOOPRST: PANOTERIONS
             PIANOTERONS
AEINNOOPRSU: EPANOUIRONS
AEINNOOPRTT: PIANOTERONT
             PRENOTATION
AEINNOOPRTU: EPANOUIRONT
AEINNOOPSST: ANTEPOSIONS
AEINNOORRST: TORONNERAIS
AEINNOORRTT: TORONNERAIT
AEINNOORSSS: ASSONERIONS
AEINNOORSTU: OUATINERONS
AEINNOORSTV: RENOVATIONS
AEINNOORSUV: EVANOUIRONS
AEINNOORTTU: OUATINERONT
AEINNOORTUV: EVANOUIRONT
AEINNOOSSSU: ENOUASSIONS
AEINNOOSTTT: OSTENTATION
AEINNOPPRRS: RAPPRENIONS
AEINNOPQRSU: PANIQUERONS
AEINNOPQRTU: PANIQUERONT
AEINNOPRRST: PATRONNIERS
AEINNOPRSST: PIORNASSENT
             PISTONNERAS
AEINNOPRSSU: PUNAISERONS
AEINNOPRSTT: INTERPOSANT
AEINNOPRSTU: PUNAISERONT
AEINNOPSSSS: PENSASSIONS
AEINNOPSSST: PISTONNASSE
             PITONNASSES
AEINNOPSSTT: PISTONNATES
             POINTASSENT
             POTINASSENT
AEINNOQRSTU: QUATERNIONS
             TAQUINERONS
AEINNOQRTTU: TAQUINERONT
             TRONQUAIENT
AEINNOQSSTU: QUESTIONNAS
AEINNOQSTTU: QUESTIONNAT
AEINNORRRST: RENTRAIRONS
AEINNORRRSU: RAINURERONS
AEINNORRRTT: RENTRAIRONT
AEINNORRRTU: RAINURERONT
AEINNORRSSU: RAISONNEURS
AEINNORRSTT: ENTARTRIONS
             NITRATERONS
             TARTINERONS
AEINNORRSTY: RENTRAYIONS
AEINNORRTTT: NITRATERONT
             TARTINERONT
AEINNORSSST: ENTRASSIONS
             RENTASSIONS
             ROSSINANTES
AEINNORSSTT: STRONTIANES
             TENORISANTS
AEINNORSSTY: RAYONNISTES
             SYNTONISERA
AEINNORSTTU: SURNOTAIENT
             TONSURAIENT
AEINNORSTUV: AVENTURIONS
             INNOVATEURS
AEINNORSWZZ: ZWANZERIONS
AEINNORTTTU: TONITRUANTE
AEINNORTUXZ: INTERZONAUX
AEINNOSSSST: TISONNASSES
AEINNOSSSTT: TENTASSIONS
             TONTINASSES
AEINNPRRSTT: TRANSPIRENT
AEINNPRSSTU: PURINASSENT
             RUPINASSENT
AEINNPRSSTV: PARVINSSENT
AEINNQQRTUU: REQUINQUANT
AEINNQRSTUY: TYRANNIQUES
AEINNQSSTTU: ESQUINTANTS
AEINNRSSSTT: TRANSISSENT
AEINNRSSSTU: SURINASSENT
AEINNSSSTTU: SUINTASSENT
AEINOOPPQRU: PROPANOIQUE
AEINOOPPRSS: APPOSERIONS
AEINOOPPRST: PAPOTERIONS
             PROPOSAIENT
AEINOOPQTUZ: PANZOOTIQUE
AEINOOPRRSS: PERORAISONS
             PRESONORISA
AEINOOPRSSS: OPERASSIONS
AEINOOPRSST: ANISOTROPES
             APOSTERIONS
             PATOISERONS
AEINOOPRSSV: PAVOISERONS
AEINOOPRSTT: PATOISERONT
             TAPOTERIONS
AEINOOPRSTU: POIREAUTONS
AEINOOPRSTV: PAVOISERONT
             VAPOTERIONS
AEINOOPRSTY: RONEOTYPAIS
AEINOOPRTTX: EXPORTATION
AEINOOPRTTY: RONEOTYPAIT
AEINOOPRTUU: POUTOUNERAI
AEINOORRRSS: ARROSERIONS
AEINOORRSSS: SONORISERAS
AEINOORRSTU: TOURNOIERAS
AEINOORRSTV: AVORTERIONS
AEINOORRSTZ: ZOROASTRIEN
AEINOORRTTT: TORTORAIENT
AEINOORSSSS: SONORISASSE
AEINOORSSST: SONORISATES
             TOREASSIONS
AEINOORSSTT: TOASTERIONS
AEINOORSTTU: TATOUERIONS
AEINOORSTUZ: OZONISATEUR
AEINOOSSSSZ: OZONISASSES
AEINOOSTUVY: VOUSOYAIENT
AEINOOTTTYY: YOYOTTAIENT
AEINOOTUVVY: VOUVOYAIENT
AEINOPPPRRT: APPROPRIENT
AEINOPPQSTU: PANOPTIQUES
AEINOPPRRST: RAPPRETIONS
             TRAPPERIONS
AEINOPPRRSU: RAPPUIERONS
AEINOPPRRTU: RAPPUIERONT
AEINOPPRRTX: EXPROPRIANT
AEINOPPRSST: APPERTISONS
AEINOPPRSSU: PAUPERISONS
AEINOPPRSSW: SWAPPERIONS
AEINOPPSSTT: PIPOTASSENT
AEINOPPSSTU: SUPPOSAIENT
AEINOPQRRSU: PARQUERIONS
AEINOPQRSTU: PARQUETIONS
AEINOPRRRST: REPARTIRONS
AEINOPRRRTT: REPARTIRONT
AEINOPRRSST: PROSTERNAIS
AEINOPRRSSU: SURPAIERONS
AEINOPRRSSY: SPRAYERIONS
AEINOPRRSTT: PRORATISENT
             PROSTERNAIT
AEINOPRRSTU: PATURERIONS
             REPARUTIONS
             SURPAIERONT
AEINOPRSSST: PATISSERONS
             PRETASSIONS
             RAPETISSONS
             RETAPISSONS
             SOPRANISTES
             TAPISSERONS
             TREPASSIONS
AEINOPRSSSU: EPURASSIONS
             PERSUASIONS
             SPINOSAURES
AEINOPRSSSV: PASSIVERONS
AEINOPRSSTT: PATISSERONT
             POSTERISANT
             PRESTATIONS
             TAPISSERONT
AEINOPRSSTU: ASSOUPIRENT
             SOUPIRANTES
AEINOPRSSTV: PASSIVERONT
             POIVRASSENT
AEINOPRSSTZ: TRANSPOSIEZ
AEINOPRSTTU: REPUTATIONS
AEINOPRTTTU: PIROUETTANT
AEINOPSSSST: PESTASSIONS
             POISSASSENT
AEINOPSSSTU: TOUPINASSES
AEINOPSSTTU: EPOUTISSANT
AEINOPSSTTV: PIVOTASSENT
AEINOPSSTTY: STENOTYPAIS
AEINOPSTTTY: STENOTYPAIT
AEINOQQTUUV: EQUIVOQUANT
AEINOQRRRSU: EQUARRIRONS
             QUARRERIONS
AEINOQRRRTU: EQUARRIRONT
AEINOQRRSTU: QUARTERIONS
             TRAQUERIONS
             TRONQUERAIS
AEINOQRRSUU: RAUQUERIONS
AEINOQRRTTU: TRONQUERAIT
AEINOQRRTUU: TOURNIQUERA
AEINOQRSSTU: ASTIQUERONS
AEINOQRSTTU: ASTIQUERONT
AEINOQSSSTU: QUETASSIONS
AEINOQSSSUV: INVOQUASSES
AEINOQSSTUY: QUINTOYASSE
AEINOQSTTUY: QUINTOYATES
AEINORRRSTT: ATTERRIRONS
             TERRORISANT
AEINORRRSTU: RATURERIONS
             RISTOURNERA
AEINORRRTTT: ATTERRIRONT
AEINORRRTUV: ENTROUVRIRA
AEINORRSSSS: SERRASSIONS
AEINORRSSST: RATISSERONS
             STARISERONS
             TERRASSIONS
AEINORRSSSU: ASSURERIONS
             REASSURIONS
AEINORRSSSV: ASSERVIRONS
AEINORRSSTT: ASSORTIRENT
             RATISSERONT
             STARISERONT
AEINORRSSTU: RESTAURIONS
             SATURERIONS
             SOUTERRAINS
             SURNOTERAIS
             TONSURERAIS
AEINORRSSTV: ASSERVIRONT
             TRAVERSIONS
AEINORRSTTT: ATTITRERONS
             TROTTINERAS
AEINORRSTTU: ANTIRETOURS
             SURNOTERAIT
             TONITRUERAS
             TONSURERAIT
AEINORRSTUV: ENTROUVRAIS
             VAUTRERIONS
AEINORRTTTT: ATTITRERONT
AEINORRTTTU: TORTURAIENT
AEINORRTTUV: ENTROUVRAIT
AEINORSSSSS: RESSASSIONS
AEINORSSSST: ASSISTERONS
             NITROSASSES
             RESTASSIONS
             STERASSIONS
             TERSASSIONS
AEINORSSSSV: SEVRASSIONS
             VERSASSIONS
AEINORSSSTT: ASSISTERONT
             SIROTASSENT
AEINORSSSTU: RESSAUTIONS
AEINORSSSTV: AVERTISSONS
AEINORSSSTY: TYROSINASES
AEINORSSTTT: TROTTINASSE
AEINORSSTTU: SOUSTRAIENT
             STATUERIONS
             TONITRUASSE
             TROUSSAIENT
AEINORSSTUV: ASSOUVIRENT
AEINORSSTUY: SURSOYAIENT
AEINORSSTUZ: TOURNASSIEZ
AEINORSTTTT: TROTTINATES
AEINORSTTTU: TONITRUATES
AEINORTTTUX: TEXTURATION
AEINOSSSSSV: VESSASSIONS
AEINOSSSSTT: TESTASSIONS
AEINOSSSSTX: SEXTASSIONS
AEINOSSSSTZ: ZESTASSIONS
AEINOSSSTTX: TEXTASSIONS
AEINOSSSTUV: ETUVASSIONS
AEINOSSTTVV: VIVOTASSENT
AEINPPRRSST: RAPPRISSENT
AEINPPRSSTT: TRIPPASSENT
AEINPPRSTUU: SUPPURAIENT
AEINPPRTUUX: PRENUPTIAUX
AEINPPSTTUU: SUPPUTAIENT
AEINPQRSTUU: SUREQUIPANT
AEINPQSSTUY: SYNAPTIQUES
AEINPRSSSST: SPRINTASSES
AEINPRSSSTT: PERSISTANTS
AEINPRSSTUU: SUPINATEURS
AEINPRSSTUV: SUPERVISANT
AEINPSSSTTT: SPITTASSENT
AEINQRRSTUU: TRUSQUINERA
AEINQRSSSTU: RISQUASSENT
             TRINQUASSES
AEINQRSSTTU: TRIQUASSENT
AEINQSSTTTU: QUITTASSENT
AEINQSSTUXY: SYNTAXIQUES
AEINRRSSSTU: NITRURASSES
AEINRRSSTUU: SUSURRAIENT
AEINRSSSSTT: TRISSASSENT
AEINRSSSSTU: REUSSISSANT
AEINRSSSSUU: SAUSSURIENS
AEINRSSTUVV: SURVIVANTES
AEINRSTTTUX: TEXTURISANT
AEINSSSTTTW: TWISTASSENT
AEINSSTTTTW: TWITTASSENT
AEIOOOPRRSZ: SPOROZOAIRE
AEIOOOPRRTZ: PROTOZOAIRE
AEIOOPPQTTU: APOPTOTIQUE
AEIOOPPRRSS: PROPOSERAIS
             REPROPOSAIS
AEIOOPPRRST: PROPOSERAIT
             REPROPOSAIT
AEIOOPPRSST: POSTPOSERAI
AEIOOPPSSSZ: OPPOSASSIEZ
AEIOOPQRRUV: PROVOQUERAI
AEIOOPRRRUV: REPOURVOIRA
AEIOOPRSSST: POIROTASSES
AEIOORRRSTT: TORTORERAIS
AEIOORRRTTT: TORTORERAIT
AEIOORRTTUU: AUTOROUTIER
AEIOORSSSUV: VOUSSOIERAS
AEIOORSSTTU: TOUSSOTERAI
AEIOORSTTYY: YOYOTTERAIS
AEIOORTTTYY: YOYOTTERAIT
AEIOORTUUYY: YOUYOUTERAI
AEIOOSSTYYZ: YOYOTASSIEZ
AEIOOSSTZZZ: ZOZOTASSIEZ
AEIOPPPRRRR: RAPPROPRIER
AEIOPPPRRRS: RAPPROPRIES
AEIOPPPRRRZ: RAPPROPRIEZ
AEIOPPPRSSU: PRESUPPOSAI
AEIOPPRRSTU: SUPPORTERAI
AEIOPPRSSSU: SUPERPOSAIS
             SUPPOSERAIS
AEIOPPRSSTU: SUPERPOSAIT
             SUPPOSERAIT
AEIOPPSSSTZ: STOPPASSIEZ
AEIOPQRSTTU: PROSTATIQUE
AEIOPQSSSTU: POTASSIQUES
AEIOPRRRTTU: PORTRAITURE
AEIOPRRSTTU: PROSTITUERA
AEIOPRRSTUU: USURPATOIRE
AEIOPRSSSST: RIPOSTASSES
AEIOPRSSSSU: SOUPIRASSES
AEIOPRSSSTT: TRIPOTASSES
AEIOPRSSSUX: SUREXPOSAIS
AEIOPRSSTTT: PROSTATITES
AEIOPRSSTUX: SUREXPOSAIT
AEIOPRSSUVZ: PROUVASSIEZ
AEIOPSSSSST: PISSOTASSES
AEIOPSSSSSU: ASSOUPISSES
AEIOPSSSSUZ: ASSOUPISSEZ
             POUSSASSIEZ
AEIOPSSSTUZ: POUTSASSIEZ
AEIOPSSTUZZ: POUTZASSIEZ
AEIOQRSSTUZ: TROQUASSIEZ
AEIOQSSSUUZ: SOUQUASSIEZ
AEIORRRSSST: RESSORTIRAS
AEIORRRSSTZ: RASSORTIREZ
AEIORRRSTTU: TORTURERAIS
AEIORRRTTTU: TORTURERAIT
AEIORRRTUVX: RETROVIRAUX
AEIORRSSSST: RASSORTISSE
AEIORRSSSTT: RASSORTITES
AEIORRSSSTU: RETROUSSAIS
             TROUSSERAIS
AEIORRSSTTU: RETROUSSAIT
             TROUSSERAIT
AEIORRSSTUU: AUTOURSIERS
AEIORRSSTUZ: SOUSTRAIREZ
AEIORSSSSST: ASSORTISSES
AEIORSSSSTU: SOUTIRASSES
AEIORSSSSTZ: ASSORTISSEZ
AEIORSSSTTU: SOUSTRAITES
AEIORSSSTUV: VOITURASSES
AEIORSSTTTZ: TROTTASSIEZ
AEIORSSTTUZ: TUTORASSIEZ
AEIORSSTUVZ: TROUVASSIEZ
AEIORSSTUYZ: SOUSTRAYIEZ
AEIOSSSSSUV: ASSOUVISSES
AEIOSSSSTUZ: TOUSSASSIEZ
AEIOSSSSUVZ: ASSOUVISSEZ
AEIOSSSTUYZ: YOUTSASSIEZ
AEIOSSTTUYZ: TUTOYASSIEZ
AEIPPRRSSUU: SUPPURERAIS
AEIPPRRSTUU: SUPPURERAIT
AEIPPRSSSST: STRIPPASSES
AEIPPRSSTUU: SUPPUTERAIS
AEIPPRSTTUU: SUPPUTERAIT
AEIPPRSTUUV: SUPPURATIVE
AEIPQRRSSUU: SURPIQUERAS
AEIPQRSSSUU: SURPIQUASSE
AEIPQRSSTUU: SURPIQUATES
AEIPRRSSSSU: PRESSURISAS
AEIPRRSSSTU: PRESSURISAT
AEIPRSSSUUZ: USURPASSIEZ
AEIQQRSTUUZ: QUARTZIQUES
AEIQRRSSTUU: RUSTIQUERAS
AEIQRSSSTUU: RUSTIQUASSE
AEIQRSSTTUU: RUSTIQUATES
             UTRAQUISTES
AEIQRSSTUUZ: TRUQUASSIEZ
AEIQSSSTUUZ: STUQUASSIEZ
AEIRRRSSSUU: SUSURRERAIS
AEIRRRSSTTU: SURTITRERAS
AEIRRRSSTUU: SUSURRERAIT
AEIRRRTTTUU: TRITURATEUR
AEIRRSSSSTU: RASSURISTES
AEIRRSSSSUU: SAURISSEURS
AEIRRSSSSUV: SURVIRASSES
AEIRRSSSTTU: SURTITRASSE
             TRITURASSES
AEIRRSSTTTU: SURTITRATES
AEIRRSSTUUZ: SURSATURIEZ
AEIRSSSSSSU: RUSSISASSES
AEIRSSSTTUZ: TRUSTASSIEZ
AEIRSSSTUUZ: SUTURASSIEZ
AEJLNNNOORS: JALONNERONS
AEJLNNNOORT: JALONNERONT
AEJLNOORSSU: JALOUSERONS
AEJLNOORSTU: JALOUSERONT
AEJLNORRSSU: SURJALERONS
AEJLNORRSTU: SURJALERONT
AEJNNNNOPTU: ENJUPONNANT
AEJNNOORRSU: AJOURNERONS
AEJNNOORRTU: AJOURNERONT
AEJNNOPSSSU: JUPONNASSES
AEJNOORRSTU: RAJOUTERONS
AEJNOORRTTU: RAJOUTERONT
AEJNOPRRRSU: PARJURERONS
AEJNOPRRRTU: PARJURERONT
AEJNOPSTTUX: JUXTAPOSENT
AEJNORRSSTU: RAJUSTERONS
AEJNORRSTTU: RAJUSTERONT
AEJNORSTTUU: SURAJOUTENT
AEJNOSSTTUX: JOUXTASSENT
AEJORSSSSUU: SURJOUASSES
AEKKLNOSSTU: KLOUKASSENT
AEKLMNOOSTY: ANKYLOSTOME
AELLLPSSSUU: PULLULASSES
AELLMNNOOSS: MOLLASSONNE
AELLMNNOOST: MOLLETONNAS
AELLMNNOOTT: MOLLETONNAT
AELLMNOORSS: SLALOMERONS
AELLMNOORST: SLALOMERONT
AELLMNORRSU: RALLUMERONS
AELLMNORRTU: RALLUMERONT
AELLMOOSSSY: LYSOSOMALES
AELLMOPRSUY: SUPERMALLOY
AELLMOPSSSY: PLASMOLYSES
AELLNOOPSTY: POLYTONALES
AELLNOPSSTU: POLLUASSENT
AELLNOPSTVY: POLYVALENTS
AELLNORSSTT: TROLLASSENT
AELMMORSSUU: SURMOULAMES
AELMNNNOOSU: AMEULONNONS
AELMNNOOSTV: MONOVALENTS
AELMNOOSSSS: SOMNOLASSES
AELMNORSSSU: MALUSSERONS
AELMNORSSTU: MALUSSERONT
AELMOOPPRST: PROTOPLASME
AELMOOPSSTX: TOXOPLASMES
AELMOORSTTU: ROULOTTAMES
AELMOPPRSSU: PROPULSAMES
AELMOPRSSYY: PYROLYSAMES
AELMOPSSSUY: PLUSSOYAMES
AELMORRSSUU: SURMOULERAS
AELMORSSSUU: MOULURASSES
             SURMOULASSE
AELMORSSTUU: SURMOULATES
AELMORSSTUV: SURVOLTAMES
AELMORSTUUV: VOLUMATEURS
AELNNNOOPTT: PELOTONNANT
AELNNNOORST: TALONNERONS
AELNNNOORTT: TALONNERONT
AELNNOPQRSU: PLANQUERONS
AELNNOPQRTU: PLANQUERONT
AELNNOPRRST: PLASTRONNER
AELNNOPRSST: PLASTRONNES
AELNNOPRSTZ: PLASTRONNEZ
AELNNOPSSSU: NONUPLASSES
AELNNPPSTTU: SUPPLANTENT
AELNOOPRRST: PARLOTERONS
AELNOOPRRSV: VARLOPERONS
AELNOOPRRTT: PARLOTERONT
AELNOOPRRTV: VARLOPERONT
AELNOOPRSTX: EXTRAPOLONS
AELNOOPRTUU: ENTOURLOUPA
AELNOOPSUZZ: POUZZOLANES
AELNOORRSTU: ULTRASONORE
AELNOPSSTTU: POSTULANTES
AELNORSSUUV: SUREVALUONS
AELNPPSSTUU: PUPULASSENT
AELNRRSSTUU: SURNATURELS
AELNRSSSTTU: LUSTRASSENT
AELOOPPRSTT: PROTOPLASTE
AELOORRSTTU: ROULOTTERAS
AELOORSSSTU: ROULOTASSES
AELOORSSTTU: ROULOTTASSE
AELOORSTTTU: ROULOTTATES
AELOOSSSUVY: LOUVOYASSES
AELOPPRRRSU: POURPARLERS
AELOPPRRRTU: ULTRAPROPRE
AELOPPRRSSU: PROPULSERAS
AELOPPRSSSU: PROPULSASSE
AELOPPRSSTU: PROPULSATES
AELOPRRSSYY: PYROLYSERAS
AELOPRSSSSU: SPORULASSES
AELOPRSSSYY: PYROLYSASSE
AELOPRSSTYY: PYROLYSATES
AELOPSSSSTU: POSTULASSES
AELOPSSSSUY: PLUSSOYASSE
AELOPSSSTUY: PLUSSOYATES
AELORRSSTUV: SURVOLTERAS
AELORSSSSUU: SURLOUASSES
AELORSSSSUV: SURVOLASSES
AELORSSSTUV: SURVOLTASSE
AELORSSTTUV: SURVOLTATES
AELRSSSTTUU: TURLUTASSES
AEMMMNORSSU: SURNOMMAMES
AEMMNNOOPPS: POMPONNAMES
AEMMNNOOSTU: MOUTONNAMES
AEMMNNOTUUX: MONUMENTAUX
AEMMNOORSSS: ASSOMMERONS
AEMMNOORSST: ASSOMMERONT
AEMMNORRSSU: SURNOMMERAS
AEMMNORSSSU: SURNOMMASSE
AEMMNORSSTU: SURMONTAMES
             SURNOMMATES
AEMMNRRSTUU: MURMURANTES
AEMMOOSSTXY: MYXOMATOSES
AEMMORRSTTU: MARMOTTEURS
AEMMRRSSSUU: MURMURASSES
AEMNNNOORRS: MARONNERONS
             RONRONNAMES
AEMNNNOORRT: MARONNERONT
AEMNNNOORSY: MONNAYERONS
AEMNNNOORTY: MONNAYERONT
AEMNNNOOTTU: MOUTONNANTE
AEMNNOOPPRS: POMPONNERAS
AEMNNOOPPSS: POMPONNASSE
AEMNNOOPPST: POMPONNATES
AEMNNOOPPSU: POUPONNAMES
AEMNNOOQRSU: MANOQUERONS
AEMNNOOQRTU: MANOQUERONT
AEMNNOORSTU: MOUTONNERAS
AEMNNOORSUV: MANOEUVRONS
AEMNNOOSSTU: MOUTONNASSE
AEMNNOOSTTU: MOUTONNATES
AEMNNOPRSTU: TAMPONNEURS
AEMNNORRSTT: REMONTRANTS
AEMNNORSSTT: MONTRASSENT
AEMNNORTTTU: TOURMENTANT
AEMNNPRRTTU: REMPRUNTANT
AEMNNRSTTTU: TRANSMUTENT
AEMNOOPRSTY: TRYPANOSOME
AEMNOOPSTUU: POUTOUNAMES
AEMNOOQSSTU: ESTOMAQUONS
AEMNOORRSUY: ROYAUMERONS
AEMNOORRTUY: ROYAUMERONT
AEMNOORSSST: MATOSSERONS
AEMNOORSSTT: MATOSSERONT
AEMNOORSTUY: TOURNOYAMES
AEMNOORSTUZ: MAZOUTERONS
AEMNOORTTUZ: MAZOUTERONT
AEMNOPPRRTU: EMPOURPRANT
AEMNOPRRSTU: PREMOURANTS
AEMNOPRSSTT: TROMPASSENT
AEMNOPRSSUW: SUPERWOMANS
AEMNOPRTTTT: TROMPETTANT
AEMNORRRSSU: SURARMERONS
AEMNORRRSTU: SURARMERONT
AEMNORRSSTU: SURMONTERAS
AEMNORRSSUU: SAUMURERONS
AEMNORRSTUU: SAUMURERONT
AEMNORSSSTU: SURMONTASSE
AEMNORSSTTU: SURMONTATES
             TREMOUSSANT
AEMNOSSSSTU: MOUSSASSENT
AEMNQSSSTUU: MUSQUASSENT
AEMOOOPQTTU: POTAMOTOQUE
AEMOOOPRSTT: SOMATOTROPE
AEMOOPPSSST: POSTPOSAMES
AEMOOPQRSUV: PROVOQUAMES
AEMOOPRSTUV: MOTOPAVEURS
AEMOORSSTUV: VASOMOTEURS
AEMOORSTTUU: AUTOMOTEURS
AEMOOSSSTTU: TOUSSOTAMES
AEMOOSSSUVY: VOUSSOYAMES
AEMOOSTUUYY: YOUYOUTAMES
AEMOPPRSSTU: SUPPORTAMES
AEMOQRSSTTU: MASTROQUETS
AENNNNOORRT: RONRONNANTE
AENNNNOORSS: NASONNERONS
AENNNNOORST: NASONNERONT
AENNNOOPRST: TAPONNERONS
AENNNOOPRTT: TAPONNERONT
AENNNOORRRS: RONRONNERAS
AENNNOORRSS: RONRONNASSE
AENNNOORRST: RATONNERONS
             RONRONNATES
AENNNOORRSY: RAYONNERONS
