AAAAABBCDENRRT: ABRACADABRANTE
AEEFFIILNNRSTU: INSUFFLERAIENT
AEEFFIILNORSTT: SIFFLOTERAIENT
AEEFFIILPRSSSZ: PERSIFFLASSIEZ
AEEFFIIMNNOSSS: EFFEMINASSIONS
AEEFFIIMNORRRS: REAFFIRMERIONS
AEEFFIINORRSTT: FORFAITISERENT
AEEFFILLMNOSTU: AFFOUILLEMENTS
AEEFFILLNORRTU: FARFOUILLERENT
AEEFFILLORSSUU: FARFOUILLEUSES
AEEFFILNNOQRSU: EFFLANQUERIONS
AEEFFILNORSSSU: EFFLEURASSIONS
AEEFFILNPRSSST: PERSIFFLASSENT
AEEFFILORSSTTU: SOUFFLETTERAIS
AEEFFILORSTTTU: SOUFFLETTERAIT
AEEFFILOSSSSUZ: ESSOUFFLASSIEZ
AEEFFILOSSSTUZ: SOUFFLETASSIEZ
AEEFFINOQRSTUU: OFFUSQUERAIENT
                SUFFOQUERAIENT
AEEFFLNOSSSSTU: ESSOUFFLASSENT
AEEFFLNOSSSTTU: SOUFFLETASSENT
AEEFGGIIINNRTU: IGNIFUGERAIENT
AEEFGGIIINSSUZ: IGNIFUGEASSIEZ
AEEFGGIINNSSTU: IGNIFUGEASSENT
AEEFGHIIIMNOOS: HOMOGENEIFIAIS
AEEFGHIIIMNOOT: HOMOGENEIFIAIT
AEEFGHIIMNNOOT: HOMOGENEIFIANT
AEEFGHILLLORSZ: RHIZOFLAGELLES
AEEFGHLLLOPSTY: PHYTOFLAGELLES
AEEFGHMMOORRST: THERMOFORMAGES
AEEFGIIIILNNRT: LIGNIFIERAIENT
AEEFGIIIINNRST: SIGNIFIERAIENT
AEEFGIIILNORRT: GLORIFIERAIENT
AEEFGIIINRSSTZ: GENTRIFIASSIEZ
AEEFGIIIRRRRTU: FERTIRRIGUERAI
AEEFGIILMNORST: GELATINIFORMES
AEEFGIILNNORRT: FORLIGNERAIENT
AEEFGIILNORSSS: LEGIFERASSIONS
AEEFGIILNOSSTU: ANGUSTIFOLIEES
AEEFGIIMMNNQTU: MAGNIFIQUEMENT
AEEFGIIMNRTTUV: FIGURATIVEMENT
AEEFGIIMRRRSTU: FERTIRRIGUAMES
AEEFGIINNORRTT: INTERRONEGATIF
AEEFGIINNRSSTT: GENTRIFIASSENT
AEEFGIINORRRST: REFRIGERATIONS
AEEFGIIPRRSSUZ: PREFIGURASSIEZ
AEEFGIIRRRRSTU: FERTIRRIGUERAS
AEEFGIIRRRSSTU: FERTIRRIGUASSE
AEEFGIIRRRSTTU: FERTIRRIGUATES
AEEFGILNNOORRT: FORLONGERAIENT
AEEFGILNOORSSZ: FORLONGEASSIEZ
AEEFGIMNNORRST: FRAGMENTERIONS
AEEFGINNORRSSZ: RENFROGNASSIEZ
AEEFGINPRRSSTU: PREFIGURASSENT
AEEFGINRRRSTUZ: TRANSFIGUREREZ
AEEFGIOORRRSST: AGROFORESTIERS
AEEFGIORRSSUUZ: REFOURGUASSIEZ
AEEFGLNNOORSST: FORLONGEASSENT
AEEFGNNNORRSST: RENFROGNASSENT
AEEFGNORRSSTUU: REFOURGUASSENT
AEEFHIIIMNRTTY: MYTHIFIERAIENT
AEEFHIIINORRRT: HORRIFIERAIENT
AEEFHIMMOORRRT: THERMOFORMERAI
AEEFHMMMOORRST: THERMOFORMAMES
AEEFHMMOORRRST: THERMOFORMERAS
AEEFHMMOORRSST: THERMOFORMASSE
AEEFHMMOORRSTT: THERMOFORMATES
AEEFIIIILMNNST: INFINITESIMALE
AEEFIIIINNNSTT: INTENSIFIAIENT
AEEFIIIINNRRTT: NITRIFIERAIENT
AEEFIIIINNRSST: INTENSIFIERAIS
AEEFIIIINNRSTT: INTENSIFIERAIT
AEEFIIIINORRRS: INFERIORISERAI
AEEFIIIINRRTTV: VITRIFIERAIENT
AEEFIIIIRSSVVZ: REVIVIFIASSIEZ
AEEFIIIJNRSTTU: JUSTIFIERAIENT
AEEFIIILMSSSUZ: EMULSIFIASSIEZ
AEEFIIILNNORTT: INTERFOLIAIENT
AEEFIIILNNRRTT: INFILTRERAIENT
AEEFIIILNNRSTZ: INFANTILISEREZ
AEEFIIILNORRST: INTERFOLIERAIS
AEEFIIILNORRTT: INTERFOLIERAIT
AEEFIIILRSSSTZ: FERTILISASSIEZ
AEEFIIIMMNNSST: ANTIFEMINISMES
AEEFIIIMNNSSTT: ANTIFEMINISTES
AEEFIIIMNORRSS: INFERIORISAMES
AEEFIIIMNORRTT: MORTIFIERAIENT
AEEFIIIMNRSTTY: MYSTIFIERAIENT
AEEFIIINNOPRRS: PERSONNIFIERAI
AEEFIIINNOPRTT: PONTIFIERAIENT
AEEFIIINNSSSST: INTENSIFIASSES
AEEFIIINORRRSS: INFERIORISERAS
AEEFIIINORRSSS: INFERIORISASSE
AEEFIIINORRSST: INFERIORISATES
AEEFIIINRRSSTU: RUSSIFIERAIENT
AEEFIIINRSSTVV: REVIVIFIASSENT
AEEFIILLNNOSSS: ENFIELLASSIONS
AEEFIILLNOPRSU: PREFEUILLAISON
AEEFIILLNORRRS: FERRAILLERIONS
AEEFIILLNORRTU: FROUILLERAIENT
AEEFIILLNPRSTT: INTERPELLATIFS
AEEFIILLORSSUZ: REFOUILLASSIEZ
AEEFIILLQRRSTU: FERRALLITIQUES
AEEFIILMMNOTTU: EMMITOUFLAIENT
AEEFIILMMORSTU: EMMITOUFLERAIS
AEEFIILMMORTTU: EMMITOUFLERAIT
AEEFIILMNSSSTU: EMULSIFIASSENT
AEEFIILNNORSSS: REENFILASSIONS
AEEFIILNOQRRSU: REQUALIFIERONS
AEEFIILNOQRRTU: REQUALIFIERONT
AEEFIILNORSSST: INTERFOLIASSES
AEEFIILNRSSSTT: FERTILISASSENT
AEEFIILOPRRSSZ: PROLIFERASSIEZ
                REPROFILASSIEZ
AEEFIILOPRRSTV: PROLIFERATIVES
AEEFIILRRSSTTU: FERTILISATEURS
AEEFIIMNNOPRSS: PERSONNIFIAMES
AEEFIIMNNORRRT: RENFORMIRAIENT
AEEFIIMNNORSST: MANIFESTERIONS
AEEFIIMNORRSTZ: INFORMATISEREZ
AEEFIIMORSSTUZ: FOUTIMASSERIEZ
AEEFIINNNOORST: FOISONNERAIENT
AEEFIINNNOPRRT: FRIPONNERAIENT
AEEFIINNNORSTU: FUSIONNERAIENT
AEEFIINNOPRRSS: PERSONNIFIERAS
AEEFIINNOPRSSS: PERSONNIFIASSE
AEEFIINNOPRSST: PERSONNIFIATES
AEEFIINNOQRRTU: FORNIQUERAIENT
AEEFIINNORSSSV: ENFIEVRASSIONS
AEEFIINOORRTUV: FOURVOIERAIENT
AEEFIINORRSTTT: FRISOTTERAIENT
AEEFIINORSSSTU: SERFOUISSAIENT
AEEFIINPRRSTTT: INTERPRETATIFS
AEEFILLNNORSTU: ENFUTAILLERONS
AEEFILLNNORTTU: ENFUTAILLERONT
AEEFILLNORSSTU: REFOUILLASSENT
AEEFILMMNNORRS: RENFLAMMERIONS
AEEFILMMOSSSTU: EMMITOUFLASSES
AEEFILMORRSSUZ: REFORMULASSIEZ
AEEFILNNNOORTU: FOULONNERAIENT
AEEFILNNORSSSU: ENFLEURASSIONS
AEEFILNOPRRSST: PROLIFERASSENT
                REPROFILASSENT
AEEFILNORRSSUU: ARSENIOSULFURE
AEEFILNORSSSTU: FLEURETASSIONS
AEEFILOOPRSTUU: EPOUSTOUFLERAI
AEEFIMNNORRSSS: RENFERMASSIONS
AEEFIMNNORSSST: FERMENTASSIONS
AEEFIMNNORSSUZ: FUMERONNASSIEZ
AEEFIMNOORRRST: REFORMATERIONS
AEEFIMNORRRSTZ: TRANSFORMERIEZ
AEEFIMNORSSTTU: FOUTIMASSERENT
AEEFINNOOPRRSU: ENFIROUAPERONS
AEEFINNOOPRRTU: ENFIROUAPERONT
AEEFINNOQRSTTU: FREQUENTATIONS
AEEFINNORRRSST: FRATERNISERONS
                TRANSFERERIONS
AEEFINNORRRSTT: FRATERNISERONT
AEEFINNORSSSST: FENESTRASSIONS
AEEFINOORRSSTT: REFORESTATIONS
AEEFINOPRSSTTU: SUPERFETATIONS
AEEFIOPRRRSSTU: FERROPRUSSIATE
AEEFLMNNNOOPRS: EMPLAFONNERONS
AEEFLMNNNOOPRT: EMPLAFONNERONT
AEEFLMNORRSSTU: REFORMULASSENT
AEEFLMOOPSSTUU: EPOUSTOUFLAMES
AEEFLNOOPSTTUU: EPOUSTOUFLANTE
AEEFLNOPRSSTUY: POLYTRANSFUSEE
AEEFLOOPRSSTUU: EPOUSTOUFLERAS
AEEFLOOPSSSTUU: EPOUSTOUFLASSE
AEEFLOOPSSTTUU: EPOUSTOUFLATES
AEEFMNNNORSSTU: FUMERONNASSENT
AEEFMNNORRRSTT: TRANSFORMERENT
AEEFMNOOPRRRST: PREFORMATERONS
AEEFMNOOPRRRTT: PREFORMATERONT
AEEGGGILNNOSTU: AGGLUTINOGENES
AEEGGHHOOPPRTY: PHYTOGEOGRAPHE
AEEGGHIILMNNTU: HEMAGGLUTININE
AEEGGHIOOOPRSZ: ZOOGEOGRAPHIES
AEEGGIILLORRUZ: GARGOUILLERIEZ
AEEGGIILNNOSSS: NEGLIGEASSIONS
AEEGGIILNOORST: GOOGLISERAIENT
AEEGGIINNORRST: EGRATIGNERIONS
AEEGGIINNORRTT: GRIGNOTERAIENT
AEEGGIIRRSSTUZ: REGURGITASSIEZ
AEEGGILLLOOQRU: ALLERGOLOGIQUE
AEEGGILLLOORST: ALLERGOLOGISTE
AEEGGILLMNORTU: GARGOUILLEMENT
AEEGGILLNORRTU: GARGOUILLERENT
AEEGGILMNOORRS: AGGLOMERERIONS
AEEGGIMNOQRTUY: GYROMAGNETIQUE
AEEGGINNOORSSS: ENGORGEASSIONS
AEEGGINNORSSTU: SUGGESTIONNERA
AEEGGINOORRSSS: REGORGEASSIONS
AEEGGINORSSSSU: SEGREGUASSIONS
AEEGGINRRSSTTU: REGURGITASSENT
AEEGHHIILOPQRU: HELIOGRAPHIQUE
AEEGHHIILOPRST: LITHOGRAPHIEES
AEEGHHILOOPRRZ: HOLOGRAPHIEREZ
AEEGHHIMOPRRST: THERMOGRAPHIES
AEEGHHINNOPRRY: RHINOPHARYNGEE
AEEGHHINOPPRRS: NEPHROGRAPHIES
AEEGHHINOPQRTU: ETHNOGRAPHIQUE
AEEGHHIOOPPRST: PHOTOGRAPHIEES
AEEGHHIOOPRRST: ORTHOGRAPHIEES
AEEGHHIOPRRSTY: HYSTEROGRAPHIE
AEEGHHIPPQRSUY: HYPERPHAGIQUES
AEEGHIIINNQTUY: ANTIHYGIENIQUE
AEEGHIILMNOPRS: GERMANOPHILIES
AEEGHIILNOPRST: TELEGRAPHIIONS
AEEGHIILOOPRST: OLIGOTHERAPIES
AEEGHIIMOPRSSS: SEISMOGRAPHIES
AEEGHIINNOORRT: HONGROIERAIENT
AEEGHIINOPRSTZ: STENOGRAPHIIEZ
AEEGHIIOPPRRRZ: REPROGRAPHIIEZ
AEEGHIIOSSSTTZ: GHETTOISASSIEZ
AEEGHIIPQRRSSU: SERIGRAPHIQUES
AEEGHILLNOOPST: PALETHNOLOGIES
AEEGHILLOPPRSS: ELLIPSOGRAPHES
AEEGHILLOPQRUY: HYPOALLERGIQUE
AEEGHILMOOQSTU: HEMATOLOGIQUES
AEEGHILMOOSSTT: HEMATOLOGISTES
AEEGHILOOPQRSU: PHRASEOLOGIQUE
AEEGHILOOPQSTU: HEPATOLOGIQUES
AEEGHIMMOOQSTU: HOMOGAMETIQUES
AEEGHIMNOPPRSU: PNEUMOGRAPHIES
AEEGHIMOPQRSUU: MUSEOGRAPHIQUE
AEEGHINNOOPRST: ANTHROPOGENIES
AEEGHINNOPRSTT: STENOGRAPHIENT
AEEGHINNOQSTUX: XANTHOGENIQUES
AEEGHINOPPRRRT: REPROGRAPHIENT
AEEGHINOPQRSTU: STENOGRAPHIQUE
AEEGHINOPRRSTU: NEUTROGRAPHIES
AEEGHINOSSSTTT: GHETTOISASSENT
AEEGHIOPPQRRRU: REPROGRAPHIQUE
AEEGHIOPPQRRTU: PETROGRAPHIQUE
AEEGHIOPPRRTYZ: TYPOGRAPHIEREZ
AEEGHIOPQRRSUX: XEROGRAPHIQUES
AEEGHMORRRSTUV: THERMOGRAVURES
AEEGHOOOPPRRTT: PHOTOREPORTAGE
AEEGHOOPRSSTUV: PHOTOGRAVEUSES
AEEGIIIILNPRTV: PRIVILEGIAIENT
AEEGIIIILPRRSV: PRIVILEGIERAIS
AEEGIIIILPRRTV: PRIVILEGIERAIT
AEEGIIILLNNSTT: INTELLIGENTSIA
AEEGIIILLNNTTZ: INTELLIGENTZIA
AEEGIIILLNORRU: ENORGUEILLIRAI
AEEGIIILLRTUVZ: VILLEGIATURIEZ
AEEGIIILNNNRTT: INTERLIGNAIENT
AEEGIIILNNORRS: RELIGIONNAIRES
AEEGIIILNNRRST: INTERLIGNERAIS
AEEGIIILNNRRTT: INTERLIGNERAIT
AEEGIIILPRSSSV: PRIVILEGIASSES
AEEGIIIMNNORRT: ORIGINAIREMENT
AEEGIIIMRSSTTZ: STIGMATISERIEZ
AEEGIIINNRRTTU: INTRIGUERAIENT
AEEGIIINNRSTTU: INSTIGUERAIENT
AEEGIIINNSTTUV: INVESTIGUAIENT
AEEGIIINRSSSTZ: ASTREIGNISSIEZ
AEEGIIINRSSTUV: INVESTIGUERAIS
AEEGIIINRSTTUV: INVESTIGUERAIT
AEEGIILLNNORRS: GRENAILLERIONS
AEEGIILLNNORRZ: GRAILLONNERIEZ
AEEGIILLNNORTU: GRENOUILLAIENT
AEEGIILLNNORUZ: AIGUILLONNEREZ
AEEGIILLNNORVZ: EGRAVILLONNIEZ
AEEGIILLNNRSTU: INTERLINGUALES
AEEGIILLNOPRTU: GOUPILLERAIENT
AEEGIILLNORRST: GRISOLLERAIENT
                TREILLAGERIONS
AEEGIILLNORRSU: ENORGUEILLIRAS
                GRENOUILLERAIS
AEEGIILLNORRTU: GRENOUILLERAIT
                GROUILLERAIENT
AEEGIILLNORSTU: AIGUILLETERONS
AEEGIILLNORTTU: AIGUILLETERONT
AEEGIILLNRTTUV: VILLEGIATURENT
AEEGIILLORRTUZ: GRATOUILLERIEZ
AEEGIILMNOQRSU: MINERALOGIQUES
AEEGIILMNORSST: MINERALOGISTES
AEEGIILMNQRRUU: MINERALURGIQUE
AEEGIILMOOQSSU: SEMASIOLOGIQUE
AEEGIILMORRSUZ: GLAMOURISERIEZ
AEEGIILNNORSTU: ETALINGUERIONS
                SOULIGNERAIENT
AEEGIILNNORTTU: ENGLOUTIRAIENT
AEEGIILNNRRSTU: SURLIGNERAIENT
AEEGIILNNRSSST: INTERLIGNASSES
AEEGIILNOOSSSZ: NEOLOGISASSIEZ
AEEGIILNRRSSUZ: SINGULARISEREZ
AEEGIIMMNORSSS: IMMERGEASSIONS
AEEGIIMNNNOSST: NEGATIONNISMES
AEEGIIMNNOPSSS: EMPEIGNASSIONS
AEEGIIMNNORRSS: GERMANISERIONS
AEEGIIMNNORSST: MAGNETISERIONS
AEEGIIMNOORSTT: GEOMETRISATION
AEEGIIMNQQSSUU: QUINQUAGESIMES
AEEGIIMNRRRSTZ: TRANSMIGRERIEZ
AEEGIIMNRSSTTT: STIGMATISERENT
AEEGIIMQRRSTUV: GRAVIMETRIQUES
AEEGIINNNOOPRS: APIGEONNERIONS
AEEGIINNNOPRSU: SINGAPOURIENNE
AEEGIINNNORRST: GRISONNERAIENT
AEEGIINNNOSSSS: ENSEIGNASSIONS
AEEGIINNNOSSTT: NEGATIONNISTES
AEEGIINNNSSTUU: AUGUSTINIENNES
AEEGIINNOPRRST: PEREGRINATIONS
AEEGIINNOPRRTV: PROVIGNERAIENT
AEEGIINNOPRSSS: REPEIGNASSIONS
AEEGIINNORRSSS: ENGRAISSERIONS
                REASSIGNERIONS
                RESSAIGNERIONS
AEEGIINNORRSTT: REINTEGRATIONS
AEEGIINNORRTUX: INTERREGIONAUX
AEEGIINNRSSSTT: ASTREIGNISSENT
AEEGIINOORRRTT: INTERROGATOIRE
AEEGIINOORRSST: GROSSOIERAIENT
AEEGIINORRRSST: REGROSSIRAIENT
AEEGIINORRSTTV: INTERROGATIVES
                TERGIVERSATION
AEEGIINRRRSSTU: RESSURGIRAIENT
AEEGIINRRSSSTU: RESURGISSAIENT
AEEGIINRSSTTUV: INVESTIGATEURS
AEEGIINSSSSTUV: INVESTIGUASSES
AEEGIIOQSSTTTU: GEOSTATISTIQUE
AEEGIIORSSTTUZ: GIROUETTASSIEZ
AEEGIJNNNOORTU: GOUJONNERAIENT
AEEGIJNOPRSSSU: PREJUGEASSIONS
AEEGIKLMMORRST: KILOGRAMMETRES
AEEGILLMNORTTU: GRATOUILLEMENT
AEEGILLMNOSTUZ: GAZOUILLEMENTS
AEEGILLMQRSTUU: METALLURGIQUES
AEEGILLMRSSTTU: METALLURGISTES
AEEGILLNNNORRT: GRAILLONNERENT
AEEGILLNNNORTV: EGRAVILLONNENT
AEEGILLNNOORSU: AGENOUILLERONS
AEEGILLNNOORTU: AGENOUILLERONT
AEEGILLNNORRVZ: GRAVILLONNEREZ
AEEGILLNNORSUV: GRAVILLONNEUSE
AEEGILLNOOOPST: PALEONTOLOGIES
AEEGILLNOOPQTU: PLANETOLOGIQUE
AEEGILLNOORRSS: ALLEGORISERONS
AEEGILLNOORRST: ALLEGORISERONT
AEEGILLNORRTTU: GRATOUILLERENT
AEEGILLNORSSSU: GRENOUILLASSES
AEEGILLOOOOPSZ: PALEOZOOLOGIES
AEEGILLORRTTUZ: GRATTOUILLEREZ
AEEGILLORSSTTU: GRASSOUILLETTE
AEEGILMNOOPSTU: PNEUMATOLOGIES
AEEGILMNORRSTU: GLAMOURISERENT
                GRANULOMETRIES
AEEGILMOQSSSTU: GLOSSEMATIQUES
AEEGILNNNOSSTU: SANGUINOLENTES
AEEGILNNOOPRRT: PROLONGERAIENT
AEEGILNNOOSSST: NEOLOGISASSENT
AEEGILNNOSSSUU: ENGUEULASSIONS
AEEGILNOOPQRTU: ORGANOLEPTIQUE
AEEGILNOOPRSSZ: PROLONGEASSIEZ
AEEGILNOORRTTT: GLOTTORERAIENT
AEEGILNOPRRSSS: PREREGLASSIONS
AEEGILNORRRSSU: REGULARISERONS
AEEGILNORRRSTU: REGULARISERONT
AEEGILNPRRSTUU: PEINTURLURAGES
AEEGILOOQRSTTU: TERATOLOGIQUES
AEEGILOORSSTTT: TERATOLOGISTES
AEEGIMMNOOPRRT: PROTEINOGRAMME
AEEGIMNNNOQRUZ: MAQUIGNONNEREZ
AEEGIMNNOORSTT: MANGEOTTERIONS
AEEGIMNNORRSTU: ARGUMENTERIONS
                RAUGMENTERIONS
AEEGIMNNOSSSST: SEGMENTASSIONS
AEEGIMNNRRRSTT: TRANSMIGRERENT
AEEGIMNOOPRSST: SPERMATOGONIES
AEEGIMNRRRTUWZ: GEWURZTRAMINER
AEEGINNNNOORRT: ROGNONNERAIENT
AEEGINNNNOORSZ: ENGAZONNERIONS
AEEGINNNOORRSZ: REGAZONNERIONS
AEEGINNNORRSSS: RENGRENASSIONS
AEEGINNOORRRSS: REORGANISERONS
AEEGINNOORRRST: REORGANISERONT
AEEGINNORRRSSS: RENGRAISSERONS
AEEGINNORRRSST: RENGRAISSERONT
AEEGINNORRSSTU: SURGENERATIONS
AEEGINNORSSSUV: ENVERGUASSIONS
AEEGINNORSSSUZ: SURGEONNASSIEZ
AEEGINOOPRSSST: PROTEGEASSIONS
AEEGINOPRSSSUX: EXPURGEASSIONS
AEEGINORRRSTTU: INTERROGATEURS
AEEGINORRSSSSS: REGRESSASSIONS
AEEGINORRSSSTT: REGRETTASSIONS
AEEGINORSSTTTU: GIROUETTASSENT
AEEGINRRSSSSTV: TRANSGRESSIVES
AEEGIOORRRSSTU: SUREROGATOIRES
AEEGIOPRRRSSTU: SURPROTEGERAIS
AEEGIOPRRRSTTU: SURPROTEGERAIT
AEEGIOPRRSSSSZ: PROGRESSASSIEZ
AEEGLLNOOOPSTU: PALEONTOLOGUES
AEEGLNNOOPRSST: PROLONGEASSENT
AEEGLNOORRSTUU: AUTOREGULERONS
AEEGLNOORRTTUU: AUTOREGULERONT
AEEGMMNOORSTTU: MAGNETOMOTEURS
AEEGNNNORSSSTU: SURGEONNASSENT
AEEGNOPRRSSSST: PROGRESSASSENT
AEEGNRRRSSSSTU: TRANSGRESSEURS
AEEHHIILLOPRST: HALTEROPHILIES
AEEHHIINNOPSTZ: PHENOTHIAZINES
AEEHHIIOPPRSTY: PHYSIOTHERAPIE
AEEHHILLMNPSTT: PLATHELMINTHES
AEEHHILNNOPSTT: HEPTATHLONIENS
AEEHHIMOOPQSTU: HOMEOPATHIQUES
AEEHHINOPPRSTY: HYPNOTHERAPIES
AEEHHINOPQTTUY: ANHYPOTHETIQUE
                HYPOTHEQUAIENT
AEEHHIOOPPRSTT: PHOTOTHERAPIES
AEEHHIOPPRRRTY: HYPERTROPHIERA
AEEHHIOPPRSTTY: PHYTOTHERAPIES
AEEHHIOPQRSTUY: HYPOTHEQUERAIS
AEEHHIOPQRTTUY: HYPOTHEQUERAIT
AEEHHNOPPSSTYY: ANTEHYPOPHYSES
AEEHHOPPPRSSTU: SUPERPHOSPHATE
AEEHHOPQSSSTUY: HYPOTHEQUASSES
AEEHIIILLLRSTU: HELITREUILLAIS
AEEHIIILLLRTTU: HELITREUILLAIT
AEEHIIILNOPRST: INHOSPITALIERE
AEEHIIINORRSTT: HISTORIERAIENT
AEEHIIINPRSSTT: HIPSTERISAIENT
AEEHIIIPRRSSST: HIPSTERISERAIS
AEEHIIIPRRSSTT: HIPSTERISERAIT
AEEHIILLLNRTTU: HELITREUILLANT
AEEHIILLNNOSST: HELLENISATIONS
AEEHIILLOPQSTU: PALEOLITHIQUES
AEEHIILMMNORTU: ALUMINOTHERMIE
AEEHIILMNNNOST: HAMILTONIENNES
AEEHIILMNOPPTY: HYPOLIPEMIANTE
AEEHIILMNOPRTU: LUMINOTHERAPIE
AEEHIILNNNORTT: TRIATHLONIENNE
AEEHIILNOSTTTU: SILHOUETTAIENT
AEEHIILOPRSSTZ: HELIPORTASSIEZ
                HOSPITALISEREZ
AEEHIILORSSTTU: SILHOUETTERAIS
AEEHIILORSTTTU: SILHOUETTERAIT
AEEHIILPPRRSTU: PLURITHERAPIES
AEEHIIMMNOPRTU: IMMUNOTHERAPIE
AEEHIIMMOPRSTZ: METAMORPHISIEZ
AEEHIIMNNORSST: METHANISERIONS
AEEHIIMNNORSSU: INHARMONIEUSES
AEEHIIMNOOPRSZ: SHAMPOOINERIEZ
AEEHIIMNOPRRTT: TRIOMPHERAIENT
AEEHIIMNOPRSUZ: SHAMPOUINERIEZ
AEEHIIMNORSSTT: THEMATISERIONS
AEEHIIMNOSSTUZ: ENTHOUSIASMIEZ
AEEHIIMNQRSTTU: ANTITHERMIQUES
AEEHIIMOPRSSST: SISMOTHERAPIES
AEEHIIMPRSSTYZ: SYMPATHISERIEZ
AEEHIINNNOPRST: SIPHONNERAIENT
AEEHIINNNORSST: HERISSONNAIENT
AEEHIINNORRSSS: HERISSONNERAIS
AEEHIINNORRSST: HERISSONNERAIT
AEEHIINNORSSST: ENTREHAISSIONS
AEEHIINNORSSTU: HOUSSINERAIENT
AEEHIINNQSTTUU: INAUTHENTIQUES
AEEHIINNSSTTTY: SYNTHETISAIENT
AEEHIINOOPRRST: ONIROTHERAPIES
AEEHIINOPPRSTT: PROPHETISAIENT
AEEHIINOPRRSTZ: ANTHROPISERIEZ
AEEHIINOPRSTTU: EUTROPHISAIENT
AEEHIINOPSSSTZ: PHONETISASSIEZ
AEEHIINORSSSST: ETHERISASSIONS
AEEHIINOSSSTTT: ESTHETISATIONS
AEEHIINPPQRSSU: PREHISPANIQUES
AEEHIINPRRSTTU: NUTRITHERAPIES
AEEHIINRSSSTTY: SYNTHETISERAIS
AEEHIINRSSTTTY: SYNTHETISERAIT
AEEHIIOPPRRSST: PROPHETISERAIS
AEEHIIOPPRRSTT: PROPHETISERAIT
AEEHIIOPRRSSTU: EUTROPHISERAIS
AEEHIIOPRRSTTU: EUTROPHISERAIT
AEEHIIOPRSSSUZ: EUPHORISASSIEZ
AEEHIIOPRSSTYZ: HYPOSTASIERIEZ
AEEHIIPPQRRSTU: PERIPHRASTIQUE
AEEHIIPRSSSSST: HIPSTERISASSES
AEEHIIRSSSSTYZ: HYSTERISASSIEZ
AEEHIKLORSTTUW: KILOWATTHEURES
AEEHILMMNOPRTT: TRIOMPHALEMENT
AEEHILMMOOPRTT: OPHTALMOMETRIE
AEEHILMNOPSSTY: HYMENOPLASTIES
AEEHILMOOSSTUX: HOMOSEXUALITES
AEEHILMOPQSTUX: EXOPHTALMIQUES
AEEHILNNNOPSTT: PENTATHLONIENS
AEEHILNOPRRSTT: HELITRANSPORTE
AEEHILNOPRSSTT: HELIPORTASSENT
AEEHILOSSSSTTU: SILHOUETTASSES
AEEHILPPQRSSUY: HYPERPLASIQUES
AEEHIMMMOPRSST: METAMORPHISMES
AEEHIMMNNOQRTU: HARMONIQUEMENT
AEEHIMMNNRSTUU: SURHUMAINEMENT
AEEHIMMNOPRSTT: METAMORPHISENT
AEEHIMMOOPRSTZ: METAMORPHOSIEZ
AEEHIMMOPQRSTU: METAMORPHIQUES
                MORPHEMATIQUES
AEEHIMNNNORTTY: MYTHONNERAIENT
AEEHIMNNOOPRST: ENANTIOMORPHES
                SHAMPOOINERENT
AEEHIMNNOPRSTU: SHAMPOUINERENT
AEEHIMNNOSSTTU: ENTHOUSIASMENT
AEEHIMNOOPRRTT: ANTHROPOMETRIE
AEEHIMNOOPSSSU: SHAMPOOINEUSES
AEEHIMNOPQRSUY: HYPERSOMNIAQUE
AEEHIMNOPSSSUU: SHAMPOUINEUSES
AEEHIMNPRSSTTY: SYMPATHISERENT
AEEHIMOOQSSTTU: HOMEOSTATIQUES
AEEHIMOPQRSSTU: ATMOSPHERIQUES
AEEHIMOQRSTTTU: THERMOSTATIQUE
AEEHINNOPQSTTU: PANTOTHENIQUES
AEEHINNOPRRSTT: ANTHROPISERENT
AEEHINNOPSSSTT: PHONETISASSENT
AEEHINNORSSSSS: HERISSONNASSES
AEEHINNSSSTTTY: SYNTHETISANTES
AEEHINOOPQRSUZ: PHANEROZOIQUES
AEEHINOPPRRRSS: PERIPHRASERONS
AEEHINOPPRRRST: PERIPHRASERONT
AEEHINOPQRSTUU: NEUROPATHIQUES
AEEHINOPRSSSTU: EUPHORISASSENT
AEEHINOPRSSTTY: HYPOSTASIERENT
AEEHINORRSSSTU: THESAURISERONS
AEEHINORRSSTTU: THESAURISERONT
AEEHINRSSSSTTY: HYSTERISASSENT
AEEHINSSSSSTTY: SYNTHETISASSES
AEEHIOOPPQRSTU: OPOTHERAPIQUES
AEEHIOOPPRRSTZ: APOSTROPHERIEZ
AEEHIOOPQSSTTU: OSTEOPATHIQUES
AEEHIOORRSSTTT: OSTEOARTHRITES
AEEHIOPPRSSSST: PROPHETISASSES
AEEHIOPRSSSSTU: EUTROPHISASSES
AEEHIPQRSSTTUY: HYPERSTATIQUES
AEEHLMMOOPRSTT: OPHTALMOMETRES
AEEHLNNOPRSTUY: POLYURETHANNES
AEEHMMNOOPRSTT: METAMORPHOSENT
AEEHMNOOPPRSTU: PNEUMATOPHORES
AEEHMNRSSSSTUU: SURHAUSSEMENTS
AEEHMOOPPRRSST: SPERMATOPHORES
AEEHMOPPRSSTTY: SPERMATOPHYTES
AEEHNNNNNOORST: HANNETONNERONS
AEEHNNNNNOORTT: HANNETONNERONT
AEEHNOOPPRRSTT: APOSTROPHERENT
AEEIIIIILNRSTZ: INITIALISERIEZ
                REINITIALISIEZ
AEEIIIILLNSSTV: VIEILLISSAIENT
