AAAAABBCDRRS: ABRACADABRAS
EEGIKLNOOPSU: PEKINOLOGUES
EEGILLLOOUVX: VEXILLOLOGUE
EEGILLMNORST: GRISOLLEMENT
EEGILLMNORTU: GROUILLEMENT
EEGILLMNOSTU: GUILLEMETONS
EEGILLMOOOPS: POLEMOLOGIES
EEGILLNNNORS: NEGRILLONNES
EEGILLNNORTU: GRENOUILLENT
EEGILLNOORSS: EGOSILLERONS
EEGILLNOORST: EGOSILLERONT
EEGILLNOPRTU: GOUPILLERENT
EEGILLNORRSS: GRESILLERONS
EEGILLNORRST: GRESILLERONT
              GRISOLLERENT
EEGILLNORRSV: GRIVELLERONS
EEGILLNORRTU: GROUILLERENT
EEGILLNORRTV: GRIVELLERONT
EEGILLOOPRST: LEPROLOGISTE
EEGILMNNNOOS: MONGOLIENNES
EEGILMNNORSU: ENGRUMELIONS
EEGILMNNOSTU: SOULIGNEMENT
EEGILMNOOOST: ENTOMOLOGIES
EEGILMNOOPSU: PNEUMOLOGIES
EEGILMNOORSS: EGLOMISERONS
EEGILMNOORST: EGLOMISERONT
EEGILMNOORSU: NUMEROLOGIES
EEGILMNOORTU: TERMINOLOGUE
EEGILMNOOSYZ: ENZYMOLOGIES
EEGILMNOPSSY: POLYGENISMES
EEGILMNORRSU: GRUMELERIONS
EEGILMNORSST: GRISOLEMENTS
EEGILMNOSTTV: VOLTIGEMENTS
EEGILMOOQRTU: METROLOGIQUE
EEGILMOOQSUU: MUSEOLOGIQUE
EEGILMOOQTUY: ETYMOLOGIQUE
EEGILMOORSTT: METROLOGISTE
EEGILMOOSSSU: SEISMOLOGUES
EEGILMOOSTTY: ETYMOLOGISTE
EEGILNNOORTU: GLOUTONNERIE
EEGILNNOPSTU: PLUTONIGENES
EEGILNNORSTU: SOULIGNERENT
EEGILNNORTTU: ENGLOUTIRENT
EEGILNNRRSTU: SURLIGNERENT
EEGILNOOOQSU: OENOLOGIQUES
EEGILNOOPRRZ: PROLONGERIEZ
EEGILNOOPRSU: EPILOGUERONS
EEGILNOOPRTU: EPILOGUERONT
EEGILNOOQRUU: NEUROLOGIQUE
EEGILNOORRST: GRELOTERIONS
EEGILNOORSTU: NEUROLOGISTE
EEGILNOPQSUY: POLYGENIQUES
EEGILNOPRSUY: PYROLIGNEUSE
EEGILNOPSSTY: POLYGENISTES
EEGILNORRSSU: SURGELERIONS
EEGILNOSSSTU: ENGLOUTISSES
EEGILNOSSTUZ: ENGLOUTISSEZ
EEGILOOOQRTU: EROTOLOGIQUE
EEGILOOOQSTU: OSTEOLOGIQUE
EEGILOOOSTUV: SOVIETOLOGUE
EEGILOOPQRTU: PETROLOGIQUE
EEGILOOQRSSU: SEROLOGIQUES
EEGILOOQSSUX: SEXOLOGIQUES
EEGILOORSSST: SEROLOGISTES
EEGILOPRSSTT: POLTERGEISTS
EEGIMMNNNNOT: MIGNONNEMENT
EEGIMMNNOORS: ENGOMMERIONS
EEGIMMNNOOSS: MONOGENISMES
EEGIMMNOORRS: REGOMMERIONS
EEGIMMNSSSTU: MUGISSEMENTS
EEGIMMORSSTT: STIGMOMETRES
EEGIMNNNORST: GRISONNEMENT
              MONTENEGRINS
EEGIMNNNOSTT: MIGNONNETTES
EEGIMNNOOPRS: EMPOIGNERONS
EEGIMNNOOPRT: EMPOIGNERONT
EEGIMNNOOQSU: MONOGENIQUES
EEGIMNNOORRS: MORIGENERONS
EEGIMNNOORRT: MORIGENERONT
EEGIMNNOORST: TEMOIGNERONS
EEGIMNNOORTT: TEMOIGNERONT
EEGIMNNOOSST: MONOGENISTES
EEGIMNNOPRRS: IMPREGNERONS
EEGIMNNOPRRT: IMPREGNERONT
EEGIMNNOPRST: PIGMENTERONS
EEGIMNNOPRTT: PIGMENTERONT
EEGIMNNOPRTV: PROVIGNEMENT
EEGIMNNORRSU: MERINGUERONS
EEGIMNNORRTU: MERINGUERONT
EEGIMNNORSTU: ROENTGENIUMS
EEGIMNOOPRSS: SPERMOGONIES
EEGIMNOOQRSU: ERGONOMIQUES
EEGIMNOORSST: ERGONOMISTES
              GEOMETRISONS
EEGIMNOPRRRS: REGRIMPERONS
EEGIMNOPRRRT: REGRIMPERONT
EEGIMNORSSTU: ROUGISSEMENT
EEGIMNORSTUU: MUGUETERIONS
EEGIMNRSSSTU: RUGISSEMENTS
              SURGISSEMENT
EEGIMOOPRSST: GEOTROPISMES
EEGIMOPRRSSS: PROGRESSISME
EEGIMORRSSTU: GRISOUMETRES
EEGIMORSSTTU: GUSTOMETRIES
EEGINNNOOPRS: PIGEONNERONS
EEGINNNOOPRT: PIGEONNERONT
EEGINNNOORRZ: ROGNONNERIEZ
EEGINNNOPRST: PONTENEGRINS
EEGINNNORRST: GRISONNERENT
EEGINNOOQSTU: ONTOGENIQUES
EEGINNOORRST: INTERROGEONS
EEGINNOORSXY: OXYGENERIONS
              REOXYGENIONS
EEGINNOPRRST: TREPIGNERONS
EEGINNOPRRSU: REPUGNERIONS
EEGINNOPRRTT: TREPIGNERONT
EEGINNOPRRTV: PROVIGNERENT
EEGINNOPRSTY: TRYPSINOGENE
EEGINNOPRSUY: UROPYGIENNES
EEGINNORRSST: ENREGISTRONS
              RESTREIGNONS
EEGINNORRSSU: SERINGUERONS
EEGINNORRSTU: SERINGUERONT
EEGINNORSSSU: NOSSEIGNEURS
EEGINNORSTTV: VIGNETTERONS
EEGINNORTTTV: VIGNETTERONT
EEGINNRRSSTT: RESTRINGENTS
EEGINOOORRSU: ROUGEOIERONS
EEGINOOORRTU: ROUGEOIERONT
EEGINOOPRRST: PROTEGERIONS
EEGINOOPRRTY: PROTEROGYNIE
EEGINOOQSTUX: GENOTOXIQUES
EEGINOORRRSU: GUERROIERONS
EEGINOORRRSV: REVIGORERONS
EEGINOORRRTU: GUERROIERONT
EEGINOORRRTV: REVIGORERONT
EEGINOORSTTU: EGOUTTERIONS
EEGINOPQSTUY: GENOTYPIQUES
EEGINOPRRSTU: INTERGROUPES
              PROGENITURES
EEGINOPRRSUX: EXPURGERIONS
EEGINORRRSST: REGISTRERONS
              REGROSSIRENT
EEGINORRRSTT: REGISTRERONT
EEGINORRSSTV: TERGIVERSONS
EEGINRRRSSTU: RESSURGIRENT
EEGINRRSSSTU: RESURGISSENT
EEGIOORRRSST: TREGORROISES
EEGIOPRRSSST: PROGRESSISTE
EEGIOPRRSSSV: PROGRESSIVES
EEGIOPRRSTUZ: SURPROTEGIEZ
EEGIORRSSSSS: REGROSSISSES
EEGIORRSSSSZ: REGROSSISSEZ
EEGIORSSSTUU: GRISOUTEUSES
EEGIRRSSSSSU: RESSURGISSES
EEGIRRSSSSUZ: RESSURGISSEZ
EEGJNNNOORTU: GOUJONNERENT
EEGJNNOOSTTU: GOUJONNETTES
EEGLLMNORRSU: GRUMELLERONS
EEGLLMNORRTU: GRUMELLERONT
EEGLLMOOOPSU: POLEMOLOGUES
EEGLMMNOORRS: GROMMELERONS
EEGLMMNOORRT: GROMMELERONT
EEGLMNNOOPRT: PROLONGEMENT
EEGLMNOOORUZ: MONOLOGUEREZ
EEGLMNOOPSUU: PNEUMOLOGUES
EEGLMNOORSUU: NUMEROLOGUES
EEGLMNOSSSTU: GLOUSSEMENTS
EEGLMOPRRUUZ: PROMULGUEREZ
EEGLNNOOPRRS: REPLONGERONS
EEGLNNOOPRRT: PROLONGERENT
              REPLONGERONT
EEGLNOORRSTT: GRELOTTERONS
EEGLNOORRTTT: GRELOTTERONT
EEGMMNOPRSSY: GYMNOSPERMES
EEGMNOORRSUU: ROUMEGUERONS
EEGMNOORRTUU: ROUMEGUERONT
EEGMNORSTTUU: MUGUETTERONS
EEGMNORTTTUU: MUGUETTERONT
EEGNNNNOORRT: ROGNONNERENT
EEGNNOORRSSS: ENGROSSERONS
EEGNNOORRSST: ENGROSSERONT
EEGNNOORRSUV: GOUVERNERONS
EEGNNOORRTUV: GOUVERNERONT
EEGNOOPRRRSU: REGROUPERONS
EEGNOOPRRRTU: REGROUPERONT
EEGNOOPRRSTY: PROTEROGYNES
EEGNOORRSSTY: GROSSOYERENT
EEGNOPRRSTTU: SURPROTEGENT
EEHHIILMNQTU: HELMINTHIQUE
EEHHILLNOPTY: THEOPHYLLINE
EEHHILMOPRST: THERMOPHILES
EEHHILOPRSST: LITHOSPHERES
EEHHIMMOORST: HOMOTHERMIES
EEHHIMOOPPRS: PHOSPHOREMIE
EEHHIMOOQTTU: HOMOTHETIQUE
EEHHIMOPRSTY: HYPOTHERMIES
EEHHINOPSSTY: HYPOSTHENIES
EEHHIOOPQSTU: THEOSOPHIQUE
EEHHIOPPRRTY: HYPERTROPHIE
EEHHIOPQTTUY: HYPOTHETIQUE
EEHHIOPQTUYZ: HYPOTHEQUIEZ
EEHHIOPRRSSZ: RHIZOSPHERES
EEHHLOOPPRSY: PHOSPHORYLEE
EEHHMMOOOPRS: HOMEOMORPHES
EEHHMOOPRRST: THEROMORPHES
EEHHNOOPQSTU: PHONOTHEQUES
EEHHNOPQTTUY: HYPOTHEQUENT
EEHHOOPPRRSZ: PHOSPHOREREZ
EEHHOOPPRSST: PHOTOSPHERES
EEHHOOPPRSSU: PHOSPHOREUSE
EEHHOOPQSTTU: PHOTOTHEQUES
EEHIIILLMMRT: MILLITHERMIE
EEHIIILNOOPS: EOSINOPHILIE
EEHIIIORRSTZ: HISTORIERIEZ
EEHIILLNNOSS: HELLENISIONS
EEHIILLOPSSY: LYOPHILISEES
EEHIILMOPPSY: HYPOLIPEMIES
EEHIILMOQSTU: HOMILETIQUES
              MESOLITHIQUE
EEHIILNOOPRT: HELIOTROPINE
EEHIILNOOPSS: EOSINOPHILES
EEHIILNOQSTU: NEOLITHIQUES
EEHIILOPRRRZ: HORRIPILEREZ
EEHIILOSTTUZ: SILHOUETTIEZ
EEHIILPPRTTY: PERITYPHLITE
EEHIIMNNOPRS: PREHOMINIENS
EEHIIMNOPSSU: EUPHEMISIONS
EEHIIMNORSTY: HIERONYMITES
EEHIIMOPRRTZ: TRIOMPHERIEZ
EEHIIMOQRSTU: ISOTHERMIQUE
EEHIINNNOSTT: TITHONIENNES
EEHIINNOPRSZ: SIPHONNERIEZ
EEHIINNORRSV: HIVERNERIONS
EEHIINNORSST: HISTORIENNES
EEHIINNORSSZ: HERISSONNIEZ
EEHIINOORRSS: HEROISERIONS
EEHIINOPRRST: PREHISTORIEN
EEHIINORRSSS: HERISSERIONS
EEHIINORRSTT: HISTORIERENT
EEHIINORSSUZ: HOUSSINERIEZ
EEHIINOSSSTT: ESTHETISIONS
EEHIINPQRSTU: NEPHRITIQUES
EEHIINSSTTYZ: SYNTHETISIEZ
EEHIIOPPRSTZ: PROPHETISIEZ
EEHIIOPQSSTU: SOPHISTIQUEE
EEHIIOPRRSST: PREHISTOIRES
EEHIIOPRSTUZ: EUTROPHISIEZ
EEHIIORSSTTT: HISTORIETTES
EEHIIQRSSTUU: HEURISTIQUES
EEHIKKLNNOOZ: KOLKHOZIENNE
EEHILLNOPRXY: PHYLLOXERIEN
EEHILLOPRSUZ: HOUSPILLEREZ
EEHILLOPSSUU: HOUSPILLEUSE
EEHILMMNOOST: MONOTHELISME
EEHILMMOSSTU: MESOTHELIUMS
EEHILMNNOSUU: MULHOUSIENNE
EEHILMNOOPST: ENTOMOPHILES
EEHILMNOOSTT: MONOTHELISTE
EEHILMNOPPSY: LYMPHOPENIES
EEHILMOOPPRS: PLESIOMORPHE
EEHILMOOPPSY: LYMPHOPOIESE
EEHILMOPPRSS: SPERMOPHILES
EEHILMOPSSTY: POLYTHEISMES
EEHILMOQSTUY: HEMOLYTIQUES
EEHILNNOOPST: TELEPHONIONS
EEHILNOOOPRT: HOLOPROTEINE
EEHILNOPRSTU: NEUTROPHILES
EEHILNOSTTTU: SILHOUETTENT
EEHILOPQRSTU: PLETHORIQUES
EEHILOPSSTTY: POLYTHEISTES
EEHIMMNOOSST: MONOTHEISMES
              NEOTHOMISMES
EEHIMMOOPRRT: MORPHOMETRIE
EEHIMNNNOPST: SIPHONNEMENT
EEHIMNNORRSU: ENRHUMERIONS
EEHIMNOOPRST: NEPHROSTOMIE
              PHONOMETRIES
EEHIMNOOQSTU: MONOTHEIQUES
EEHIMNOOSSTT: MONOTHEISTES
EEHIMNOPRRTT: TRIOMPHERENT
EEHIMNOPRSSY: HYPERSOMNIES
EEHIMNOPRSYY: HYPERONYMIES
EEHIMNORRSST: THERMISERONS
EEHIMNORRSTT: THERMISERONT
EEHIMNPQSTUY: PHYSIQUEMENT
EEHIMNSSSTTY: SYNTHETISMES
EEHIMOOPRRST: RHEOTROPISME
EEHIMOOPRSTT: PHOTOMETRIES
EEHIMOORSTTY: HYSTEROTOMIE
EEHIMOPPRSST: PROPHETISMES
EEHIMOPQSTUY: HEMOPTYSIQUE
EEHIMOPRSSTY: HYPSOMETRIES
EEHIMQRSTUUY: EURYTHMIQUES
EEHIMRRSSTTU: THERMISTEURS
EEHINNNOPRRY: PYRRHONIENNE
EEHINNNOPRST: SIPHONNERENT
EEHINNNORSST: HERISSONNENT
EEHINNOPRSTY: HYPERTENSION
EEHINNOPRSUY: HYPONEURIENS
EEHINNORSSTU: HOUSSINERENT
EEHINNSSTTTY: SYNTHETISENT
EEHINOOPQRSU: ORPHEONIQUES
EEHINOOPRRTT: PROTOTHERIEN
EEHINOOPRSST: ORPHEONISTES
EEHINOOQRSTU: HOQUETERIONS
EEHINOORRSST: THEORISERONS
EEHINOORRSTT: THEORISERONT
EEHINOORRSTX: EXHORTERIONS
EEHINOPPQTUY: PHENOTYPIQUE
EEHINOPPRSTT: PROPHETISENT
EEHINOPQRSTU: NEPHROTIQUES
EEHINOPQRSUY: HYPERSONIQUE
EEHINOPQRTUY: HYPERTONIQUE
EEHINOPRSTTU: EUTROPHISENT
EEHINOPRSTYZ: HYPNOTISEREZ
EEHINOPSSTUY: HYPNOTISEUSE
EEHINOPSSTVY: HYPOTENSIVES
EEHINORRSSTY: ERYTHROSINES
EEHINQSSTTUY: SYNTHETIQUES
EEHINRSSTTUY: SYNTHETISEUR
EEHIOOQRRTUX: ORTHOREXIQUE
EEHIOPPQRSTU: PROPHETIQUES
              PROPITHEQUES
EEHIOPQRSTTU: PROSTHETIQUE
              PROTHETIQUES
EEHIOPQRSTUU: EUTROPHIQUES
EEHIOPQRTUXY: XEROPHYTIQUE
EEHIOPRSSSTT: PROTHESISTES
EEHIOPRSTTTW: TWITTOSPHERE
EEHIOQRRRTUU: RHETORIQUEUR
EEHIQRRSSSUU: SQUIRRHEUSES
EEHJJOOQTUUU: JOUJOUTHEQUE
EEHKLLNOPRTY: KENTROPHYLLE
EEHMMOOPPRST: THERMOPOMPES
EEHMNNOOORRU: NEUROHORMONE
EEHMNOOORRST: ORTHONORMEES
EEHMNOOPSTUY: HYPONOMEUTES
EEHMOOPSSTTY: PHOTOSYSTEME
EEHNOOOPRSSZ: OZONOSPHERES
EEHNOOQRSTTU: HOQUETTERONS
EEHNOOQRTTTU: HOQUETTERONT
EEHNOPRSSTUY: HYPOTENSEURS
EEHOOPPRRSST: TROPOSPHERES
EEHOOPRRSTTY: THYREOTROPES
EEHOOPRSSSTY: HYPEROSTOSES
EEIIIILLSSVZ: VIEILLISSIEZ
EEIIIILMRSSZ: SIMILISERIEZ
EEIIIILRRSVZ: VIRILISERIEZ
EEIIIIMMNRSZ: MINIMISERIEZ
EEIIIJNOORTZ: JOINTOIERIEZ
EEIIIKNNSTTT: KITTITIENNES
EEIIILLMMNOS: MILLIONIEMES
EEIIILLMMRTZ: MILLIMETRIEZ
EEIIILLMNRUZ: ILLUMINERIEZ
EEIIILLNNTUV: UNIVITELLINE
EEIIILLNRSTZ: INSTILLERIEZ
EEIIILLNSSTV: VIEILLISSENT
EEIIILLRSSTZ: TREILLISSIEZ
EEIIILMMNRST: LIMNIMETRIES
EEIIILMNNORS: ELIMINERIONS
EEIIILMNNSSU: INSULINEMIES
EEIIILMNRSST: MINISTERIELS
              SIMILISERENT
EEIIILMNSSTT: MINITELISTES
EEIIILMPQRUZ: IMPLIQUERIEZ
EEIIILNOPRRZ: RIPOLINERIEZ
EEIIILNORRSS: RESILIERIONS
EEIIILNRRSTV: VIRILISERENT
EEIIILNRSTTT: INTERSTITIEL
EEIIILNRTTUZ: INTITULERIEZ
EEIIILOPRSTZ: POLITISERIEZ
EEIIILORRTVZ: VITRIOLERIEZ
EEIIILRSSSUZ: RELUISISSIEZ
EEIIIMMNNRST: MINIMISERENT
EEIIIMMNRSUZ: IMMUNISERIEZ
EEIIIMNNSSTU: EINSTEINIUMS
EEIIIMNORRSZ: MINORISERIEZ
EEIIIMNOSTTV: INEMOTIVITES
EEIIIMOOPSST: EPISIOTOMIES
EEIIIMOPRSTZ: OPTIMISERIEZ
EEIIIMPRSSTV: PERMISSIVITE
EEIIIMPRTTTV: PERMITTIVITE
EEIIIMRRSTTT: TITRIMETRIES
EEIIINNOPRST: PIETINERIONS
EEIIINNOPSTZ: PIETONNISIEZ
EEIIINNOPTTZ: PETITIONNIEZ
EEIIINNORSVZ: VISIONNERIEZ
EEIIINNORTVZ: INVENTORIIEZ
EEIIINNQQUUZ: ENQUIQUINIEZ
EEIIINNSTTVV: INVENTIVITES
EEIIINOPRRST: POITRINIERES
EEIIINOQRTUZ: QUINTOIERIEZ
EEIIINORRRST: INTERIORISER
EEIIINORRSST: INTERIORISES
EEIIINORRSTT: INTERIORITES
EEIIINORRSTZ: INTERIORISEZ
EEIIINPQQUUZ: PIQUENIQUIEZ
EEIIINQRRTUZ: INTRIQUERIEZ
EEIIINRSSTVZ: INVERTISSIEZ
EEIIINRSTTUZ: INSTITUERIEZ
EEIIINSSSTTV: SENSITIVITES
EEIIINSSSTVZ: INVESTISSIEZ
EEIIIOPRRRSZ: PRIORISERIEZ
EEIIIOPRSTVZ: POSITIVERIEZ
EEIIIOQRRSTU: REQUISITOIRE
EEIIIRSSSTTV: RESISTIVITES
EEIIJLLSTTTU: JUILLETTISTE
EEIIJMNNOOTT: JOINTOIEMENT
EEIIJMNNOTTV: JOINTIVEMENT
EEIIJNNOORST: EJOINTERIONS
EEIIJNNOORTT: REJOINTOIENT
EEIIJNNORSTT: INTERJETIONS
EEIIJNNORSUV: ENJUIVERIONS
EEIIJNOORTYZ: REJOINTOYIEZ
EEIIKKNNNORS: ENKIKINERONS
EEIIKKNNNORT: ENKIKINERONT
EEIIKLMOQRTU: KILOMETRIQUE
EEIILLMMNRTT: MILLIMETRENT
EEIILLMNNRTU: ILLUMINERENT
EEIILLMOOPTY: POLIOMYELITE
EEIILLMOSTUZ: EMOUSTILLIEZ
EEIILLMPQTUU: EQUIMULTIPLE
EEIILLMPRSTU: MILLEPERTUIS
EEIILLMPRTUZ: MULTIPLIEREZ
EEIILLMPTUXZ: MULTIPLEXIEZ
EEIILLMRSSTT: ILLETTRISMES
EEIILLNNORSV: NIVELLERIONS
EEIILLNNORSZ: SILLONNERIEZ
EEIILLNNOSSU: ILLUSIONNEES
EEIILLNNRSTT: INSTILLERENT
EEIILLNOORSS: OISELLERIONS
EEIILLNOPRST: PETILLERIONS
EEIILLNOPRSZ: POLLINISEREZ
EEIILLNOPRTZ: POINTILLEREZ
EEIILLNOPSTU: POINTILLEUSE
EEIILLNORRST: ETRILLERIONS
EEIILLNORSTV: VETILLERIONS
EEIILLNORTTZ: ENTORTILLIEZ
EEIILLNRSSTT: TREILLISSENT
EEIILLOPRRST: TORPILLERIES
EEIILLOPRRTZ: TORPILLERIEZ
EEIILLOPRRUZ: ROUPILLERIEZ
EEIILLOPRTUZ: TOUPILLERIEZ
EEIILLORRTTZ: TORTILLERIEZ
EEIILLORRTUZ: TROUILLERIEZ
EEIILLORRUVZ: VERROUILLIEZ
EEIILLOSSTVV: VELIVOLISTES
EEIILLPPRSST: PIPISTRELLES
EEIILLPRSSTU: SPIRITUELLES
EEIILLRRSTUZ: ILLUSTRERIEZ
EEIILMNNOSUZ: EMULSIONNIEZ
EEIILMNOOPRS: EMPLOIERIONS
EEIILMNOPRRS: REMPILERIONS
              REMPLIERIONS
EEIILMNORSUZ: LIMOUSINEREZ
EEIILMNPQRTU: IMPLIQUERENT
EEIILMNRTTUV: MULTINEVRITE
EEIILMOPRSYZ: POLYMERISIEZ
EEIILMOPRTUV: PLUVIOMETRIE
EEIILMOPSSST: IMPOLITESSES
EEIILMORSSSU: EUROMISSILES
EEIILMRRSSTT: TRIMESTRIELS
EEIILNNNNOST: INTENSIONNEL
EEIILNNNNOTT: INTENTIONNEL
EEIILNNOORST: ENTOILERIONS
EEIILNNOORSV: ENVOILERIONS
EEIILNNOORTZ: LOTIONNERIEZ
EEIILNNOPRRT: RIPOLINERENT
EEIILNNOPRST: INTERPELIONS
EEIILNNOPRSV: PREVISIONNEL
EEIILNNORSSV: REVISIONNELS
EEIILNNORSTV: VENTILERIONS
EEIILNNRTTTU: INTITULERENT
EEIILNNRUZZZ: ZINZINULEREZ
EEIILNOOPPRT: LIPOPROTEINE
EEIILNOOPRRS: REPLOIERIONS
EEIILNOORSTV: VIOLETERIONS
EEIILNOPRSSX: PIXELISERONS
EEIILNOPRSTT: POLITISERENT
EEIILNOPRSTV: VESPERTILION
EEIILNOPRSTX: PIXELISERONT
EEIILNOQQSUU: QUINOLEIQUES
EEIILNOQRTUV: VENTRILOQUIE
EEIILNOQRTUZ: INTERLOQUIEZ
EEIILNORRTTV: VITRIOLERENT
EEIILNORSSSV: LESSIVERIONS
EEIILNRSSSTU: RELUISISSENT
EEIILOOPPRST: PLEIOTROPIES
EEIILOORSSUV: LOUVIEROISES
EEIILOPQRTUZ: POLITIQUEREZ
EEIILOPSSTVX: EXPLOSIVITES
EEIILORSSTUV: VITRIOLEUSES
EEIILOSTTUVV: EVOLUTIVITES
EEIIMMNNRSSU: INNUMERISMES
EEIIMMNNRSTU: IMMUNISERENT
EEIIMMNORSTT: MIROITEMENTS
EEIIMMNOSSST: MESESTIMIONS
EEIIMMOPPRSS: POMPIERISMES
EEIIMMORSSST: SISMOMETRIES
EEIIMNNNORSS: INSEMINERONS
EEIIMNNNORST: INSEMINERONT
EEIIMNNNOSTU: MUNITIONNEES
EEIIMNNNOSTV: VISIONNEMENT
EEIIMNNOOPSZ: EMPOISONNIEZ
EEIIMNNOORTZ: MOTIONNERIEZ
EEIIMNNOPRSS: IMPRESSIONNE
EEIIMNNOPRST: PIMENTERIONS
EEIIMNNOPRSZ: EMPRISONNIEZ
EEIIMNNOQRTU: IRONIQUEMENT
EEIIMNNORRST: MINORISERENT
              TERMINERIONS
EEIIMNNORSSU: MENUISERIONS
EEIIMNNORSSZ: MISSIONNEREZ
EEIIMNNORSTX: EXTERMINIONS
EEIIMNNORTXZ: MIXTIONNEREZ
EEIIMNNOSSSU: INSOMNIEUSES
EEIIMNNPRSTT: IMPERTINENTS
EEIIMNNRSSTT: SINISTREMENT
EEIIMNNRTTTT: INTERMITTENT
EEIIMNOOPRRT: PREMONITOIRE
EEIIMNOORRTZ: MONITORERIEZ
EEIIMNOORSST: METEORISIONS
EEIIMNOPRRRS: REPRIMERIONS
EEIIMNOPRRSS: MEPRISERIONS
              REIMPRESSION
EEIIMNOPRRST: IMPETRERIONS
EEIIMNOPRRSX: EXPRIMERIONS
EEIIMNOPRRTZ: INTERROMPIEZ
EEIIMNOPRSTT: OPTIMISERENT
EEIIMNOPSTTV: POSITIVEMENT
EEIIMNORSSST: METISSERIONS
EEIIMNPRSSUZ: PREMUNISSIEZ
EEIIMOORRSTZ: MOTORISERIEZ
EEIIMOPPRRST: IMPROPRIETES
EEIIMOPQRSSU: QUIMPEROISES
EEIIMOPRRSST: SPIROMETRIES
EEIIMOPRRSVZ: IMPROVISEREZ
EEIIMOPRRUVZ: IMPROUVERIEZ
EEIIMOPSSTTU: IMPETUOSITES
EEIIMOQRSSTU: ISOMETRIQUES
EEIIMORRSSUV: OUVRIERISMES
EEIIMPPRRSUZ: SUPPRIMERIEZ
EEIIMPRRSSTU: PRIMEURISTES
EEIIMPRRSUXZ: SUREXPRIMIEZ
EEIIMRRSSTUZ: MEURTRISSIEZ
EEIINNNNOSTT: INTENTIONNES
EEIINNNOOPST: PONTOISIENNE
EEIINNNOPRSS: PERENNISIONS
EEIINNNOPSTT: PIETONNISENT
EEIINNNOPTTT: PETITIONNENT
EEIINNNORRST: INTERNERIONS
EEIINNNORRSV: INNERVERIONS
EEIINNNORSTT: INTENTERIONS
EEIINNNORSTU: REUNIONNITES
EEIINNNORSTV: INTERVENIONS
              INVENTERIONS
              REINVENTIONS
              VISIONNERENT
EEIINNNORTTV: INTERVENTION
              INVENTORIENT
EEIINNNQQTUU: ENQUIQUINENT
EEIINNNRRTTV: INTERVINRENT
EEIINNOOPRSS: POISSONNERIE
              POISSONNIERE
EEIINNOOPRST: EPOINTERIONS
              REPOSITIONNE
EEIINNOOPRSV: PROVISIONNEE
EEIINNOOPSST: POSITIONNEES
EEIINNOOQRSU: IROQUOIENNES
EEIINNOOQTUV: VEINOTONIQUE
EEIINNOORRST: ORIENTERIONS
              REORIENTIONS
EEIINNOORSSS: INSONORISEES
EEIINNOORSTT: NETTOIERIONS
EEIINNOPPRRS: RENIPPERIONS
EEIINNOPRRSS: PRISONNIERES
EEIINNOPRRST: REPENTIRIONS
EEIINNOPRSTZ: PISTONNERIEZ
EEIINNOQRSTU: INQUIETERONS
EEIINNOQRTTU: INQUIETERONT
EEIINNOQSTUZ: QUESTIONNIEZ
EEIINNORRRSV: REVERNIRIONS
EEIINNORRSST: REINSERTIONS
EEIINNORRSSV: INVERSERIONS
EEIINNORRSTT: RETENTIRIONS
EEIINNORRSTV: INTERVERSION
              REINVITERONS
EEIINNORRSTZ: INTRONISEREZ
EEIINNORRTTV: REINVITERONT
EEIINNORSSST: INTERESSIONS
              INTERSESSION
EEIINNORSTVW: INTERVIEWONS
EEIINNOSSSUV: VISIONNEUSES
EEIINNPQQTUU: PIQUENIQUENT
EEIINNQQRUUU: ENQUIQUINEUR
EEIINNQRRTTU: INTRIQUERENT
EEIINNQRSSTU: INTRINSEQUES
EEIINNQSSTTU: TENNISTIQUES
EEIINNRSSSTV: INTERVINSSES
EEIINNRSSTTU: SURINTENSITE
EEIINNRSSTTV: INVERTISSENT
EEIINNRSTTTU: INSTITUERENT
EEIINNSSSTTV: INVESTISSENT
EEIINNSSSTUV: ENSUIVISSENT
EEIINOOPRSST: POETISERIONS
EEIINOOPRSTU: EPOUTIERIONS
EEIINOORRSST: EROTISERIONS
EEIINOORRSSU: SOURNOISERIE
EEIINOORRSSZ: SONORISERIEZ
EEIINOORRTUZ: TOURNOIERIEZ
EEIINOORSSTV: STEREOVISION
EEIINOPPRSTT: PIPETTERIONS
EEIINOPQRRSU: REPIQUERIONS
EEIINOPQRSSU: ISOPRENIQUES
EEIINOPQRSTU: ISENTROPIQUE
              PIQUETERIONS
              PROTEINIQUES
EEIINOPRRRSS: REPRISERIONS
              RESPIRERIONS
EEIINOPRRRST: PRETIRERIONS
              PRIORISERENT
              REPETRIRIONS
EEIINOPRRSSU: UPERISERIONS
EEIINOPRRSTT: PRETERITIONS
EEIINOPRRSTU: PROTEINURIES
EEIINOPRRSTX: EXTIRPERIONS
EEIINOPRSSSU: POUSSINIERES
EEIINOPRSSTX: EXPERTISIONS
              PREEXISTIONS
EEIINOPRSTTV: POSITIVERENT
EEIINOQRRSTU: ETRIQUERIONS
EEIINOQRSSUV: ESQUIVERIONS
EEIINOQRTUXZ: INTOXIQUEREZ
EEIINORRRSTT: TERRITORIENS
EEIINORRRSTV: TREVIRERIONS
EEIINORRRSTW: REWRITERIONS
EEIINORRSSST: RESISTERIONS
              RETISSERIONS
EEIINORRSSSU: RESSUIERIONS
EEIINORRSSSV: REVISSERIONS
EEIINORRSSTU: RESITUERIONS
